埋もれる,619,619,7124,動詞,自立,*,*,一段,基本形,埋もれる,ウモレル,ウモレル,追加エントリ
埋もれ,622,622,8410,動詞,自立,*,*,一段,未然形,埋もれる,ウモレ,ウモレ,追加エントリ
埋もれよ,621,621,7124,動詞,自立,*,*,一段,未然ウ接続,埋もれる,ウモレヨ,ウモレヨ,追加エントリ
埋もれ,625,625,8410,動詞,自立,*,*,一段,連用形,埋もれる,ウモレ,ウモレ,追加エントリ
埋もれれ,617,617,7124,動詞,自立,*,*,一段,仮定形,埋もれる,ウモレレ,ウモレレ,追加エントリ
埋もれよ,624,624,7124,動詞,自立,*,*,一段,命令ｙｏ,埋もれる,ウモレヨ,ウモレヨ,追加エントリ
埋もれろ,623,623,7124,動詞,自立,*,*,一段,命令ｒｏ,埋もれる,ウモレロ,ウモレロ,追加エントリ
埋もれりゃ,618,618,7124,動詞,自立,*,*,一段,仮定縮約１,埋もれる,ウモレリャ,ウモレリャ,追加エントリ
埋もれん,620,620,7124,動詞,自立,*,*,一段,体言接続特殊,埋もれる,ウモレン,ウモレン,追加エントリ
一人,1285,1285,2905,名詞,一般,*,*,*,*,一人,ヒトリ,ヒトリ,追加エントリ
１人,1285,1285,2905,名詞,一般,*,*,*,*,１人,ヒトリ,ヒトリ,追加エントリ
1人,1285,1285,2905,名詞,一般,*,*,*,*,1人,ヒトリ,ヒトリ,追加エントリ
二人,1285,1285,896,名詞,一般,*,*,*,*,二人,フタリ,フタリ,追加エントリ
２人,1285,1285,896,名詞,一般,*,*,*,*,２人,フタリ,フタリ,追加エントリ
2人,1285,1285,896,名詞,一般,*,*,*,*,2人,フタリ,フタリ,追加エントリ
